timestamp,target_name,target_ip,rtt_ms,is_lost,network_type
2026-09-06 22:37:52,Cloudflare_VN,1.1.1.1,47.51,0,Mobile_Good_Signal_Night
2026-09-06 22:37:52,Google_VN,8.8.8.8,37.82,0,Mobile_Good_Signal_Night
2026-09-06 22:37:53,OpenDNS_Global,208.67.222.222,83.76,0,Mobile_Good_Signal_Night
2026-09-06 22:37:54,Cloudflare_VN,1.1.1.1,36.38,0,Mobile_Good_Signal_Night
2026-09-06 22:37:55,Google_VN,8.8.8.8,66.27,0,Mobile_Good_Signal_Night
2026-09-06 22:37:55,OpenDNS_Global,208.67.222.222,82.98,0,Mobile_Good_Signal_Night
2026-09-06 22:37:57,Cloudflare_VN,1.1.1.1,34.53,0,Mobile_Good_Signal_Night
2026-09-06 22:37:57,Google_VN,8.8.8.8,63.75,0,Mobile_Good_Signal_Night
2026-09-06 22:37:58,OpenDNS_Global,208.67.222.222,85.64,0,Mobile_Good_Signal_Night
2026-09-06 22:38:00,Cloudflare_VN,1.1.1.1,36.15,0,Mobile_Good_Signal_Night
2026-09-06 22:38:00,Google_VN,8.8.8.8,58.34,0,Mobile_Good_Signal_Night
2026-09-06 22:38:01,OpenDNS_Global,208.67.222.222,85.43,0,Mobile_Good_Signal_Night
2026-09-06 22:38:02,Cloudflare_VN,1.1.1.1,35.61,0,Mobile_Good_Signal_Night
2026-09-06 22:38:03,Google_VN,8.8.8.8,37.73,0,Mobile_Good_Signal_Night
2026-09-06 22:38:03,OpenDNS_Global,208.67.222.222,82.89,0,Mobile_Good_Signal_Night
2026-09-06 22:38:05,Cloudflare_VN,1.1.1.1,37.16,0,Mobile_Good_Signal_Night
2026-09-06 22:38:05,Google_VN,8.8.8.8,54.43,0,Mobile_Good_Signal_Night
2026-09-06 22:38:06,OpenDNS_Global,208.67.222.222,78.33,0,Mobile_Good_Signal_Night
2026-09-06 22:38:08,Cloudflare_VN,1.1.1.1,36.6,0,Mobile_Good_Signal_Night
2026-09-06 22:38:08,Google_VN,8.8.8.8,61.57,0,Mobile_Good_Signal_Night
2026-09-06 22:38:09,OpenDNS_Global,208.67.222.222,73.08,0,Mobile_Good_Signal_Night
2026-09-06 22:38:10,Cloudflare_VN,1.1.1.1,36.18,0,Mobile_Good_Signal_Night
2026-09-06 22:38:11,Google_VN,8.8.8.8,62.93,0,Mobile_Good_Signal_Night
2026-09-06 22:38:11,OpenDNS_Global,208.67.222.222,66.2,0,Mobile_Good_Signal_Night
2026-09-06 22:38:13,Cloudflare_VN,1.1.1.1,36.67,0,Mobile_Good_Signal_Night
2026-09-06 22:38:14,Google_VN,8.8.8.8,40.94,0,Mobile_Good_Signal_Night
2026-09-06 22:38:14,OpenDNS_Global,208.67.222.222,87.82,0,Mobile_Good_Signal_Night
2026-09-06 22:38:16,Cloudflare_VN,1.1.1.1,40.7,0,Mobile_Good_Signal_Night
2026-09-06 22:38:16,Google_VN,8.8.8.8,38.03,0,Mobile_Good_Signal_Night
2026-09-06 22:38:17,OpenDNS_Global,208.67.222.222,90.98,0,Mobile_Good_Signal_Night
2026-09-06 22:38:18,Cloudflare_VN,1.1.1.1,36.15,0,Mobile_Good_Signal_Night
2026-09-06 22:38:19,Google_VN,8.8.8.8,55.73,0,Mobile_Good_Signal_Night
2026-09-06 22:38:19,OpenDNS_Global,208.67.222.222,89.15,0,Mobile_Good_Signal_Night
2026-09-06 22:38:21,Cloudflare_VN,1.1.1.1,34.47,0,Mobile_Good_Signal_Night
2026-09-06 22:38:22,Google_VN,8.8.8.8,40.15,0,Mobile_Good_Signal_Night
2026-09-06 22:38:22,OpenDNS_Global,208.67.222.222,78.96,0,Mobile_Good_Signal_Night
2026-09-06 22:38:24,Cloudflare_VN,1.1.1.1,35.1,0,Mobile_Good_Signal_Night
2026-09-06 22:38:24,Google_VN,8.8.8.8,56.64,0,Mobile_Good_Signal_Night
2026-09-06 22:38:25,OpenDNS_Global,208.67.222.222,73.28,0,Mobile_Good_Signal_Night
2026-09-06 22:38:26,Cloudflare_VN,1.1.1.1,34.67,0,Mobile_Good_Signal_Night
2026-09-06 22:38:27,Google_VN,8.8.8.8,41.42,0,Mobile_Good_Signal_Night
2026-09-06 22:38:27,OpenDNS_Global,208.67.222.222,86.28,0,Mobile_Good_Signal_Night
2026-09-06 22:38:29,Cloudflare_VN,1.1.1.1,34.01,0,Mobile_Good_Signal_Night
2026-09-06 22:38:30,Google_VN,8.8.8.8,58.86,0,Mobile_Good_Signal_Night
2026-09-06 22:38:30,OpenDNS_Global,208.67.222.222,79.14,0,Mobile_Good_Signal_Night
2026-09-06 22:38:32,Cloudflare_VN,1.1.1.1,39.64,0,Mobile_Good_Signal_Night
2026-09-06 22:38:32,Google_VN,8.8.8.8,58.56,0,Mobile_Good_Signal_Night
2026-09-06 22:38:33,OpenDNS_Global,208.67.222.222,88.47,0,Mobile_Good_Signal_Night
2026-09-06 22:38:34,Cloudflare_VN,1.1.1.1,42.01,0,Mobile_Good_Signal_Night
2026-09-06 22:38:35,Google_VN,8.8.8.8,64.83,0,Mobile_Good_Signal_Night
2026-09-06 22:38:36,OpenDNS_Global,208.67.222.222,90.75,0,Mobile_Good_Signal_Night
2026-09-06 22:38:37,Cloudflare_VN,1.1.1.1,134.6,0,Mobile_Good_Signal_Night
2026-09-06 22:38:38,Google_VN,8.8.8.8,70.34,0,Mobile_Good_Signal_Night
2026-09-06 22:38:38,OpenDNS_Global,208.67.222.222,72.47,0,Mobile_Good_Signal_Night
2026-09-06 22:38:40,Cloudflare_VN,1.1.1.1,35.38,0,Mobile_Good_Signal_Night
2026-09-06 22:38:40,Google_VN,8.8.8.8,38.71,0,Mobile_Good_Signal_Night
2026-09-06 22:38:41,OpenDNS_Global,208.67.222.222,79.75,0,Mobile_Good_Signal_Night
2026-09-06 22:38:43,Cloudflare_VN,1.1.1.1,35.07,0,Mobile_Good_Signal_Night
2026-09-06 22:38:43,Google_VN,8.8.8.8,46.21,0,Mobile_Good_Signal_Night
2026-09-06 22:38:44,OpenDNS_Global,208.67.222.222,93.61,0,Mobile_Good_Signal_Night
2026-09-06 22:38:45,Cloudflare_VN,1.1.1.1,35.58,0,Mobile_Good_Signal_Night
2026-09-06 22:38:46,Google_VN,8.8.8.8,54.6,0,Mobile_Good_Signal_Night
2026-09-06 22:38:46,OpenDNS_Global,208.67.222.222,93.11,0,Mobile_Good_Signal_Night
2026-09-06 22:38:48,Cloudflare_VN,1.1.1.1,37.78,0,Mobile_Good_Signal_Night
2026-09-06 22:38:49,Google_VN,8.8.8.8,62.52,0,Mobile_Good_Signal_Night
2026-09-06 22:38:49,OpenDNS_Global,208.67.222.222,89.5,0,Mobile_Good_Signal_Night
2026-09-06 22:38:51,Cloudflare_VN,1.1.1.1,35.19,0,Mobile_Good_Signal_Night
2026-09-06 22:38:51,Google_VN,8.8.8.8,37.77,0,Mobile_Good_Signal_Night
2026-09-06 22:38:52,OpenDNS_Global,208.67.222.222,66.43,0,Mobile_Good_Signal_Night
2026-09-06 22:38:53,Cloudflare_VN,1.1.1.1,38.24,0,Mobile_Good_Signal_Night
2026-09-06 22:38:54,Google_VN,8.8.8.8,131.98,0,Mobile_Good_Signal_Night
2026-09-06 22:38:55,OpenDNS_Global,208.67.222.222,78.98,0,Mobile_Good_Signal_Night
2026-09-06 22:38:56,Cloudflare_VN,1.1.1.1,39.8,0,Mobile_Good_Signal_Night
2026-09-06 22:38:57,Google_VN,8.8.8.8,50.93,0,Mobile_Good_Signal_Night
2026-09-06 22:38:57,OpenDNS_Global,208.67.222.222,88.33,0,Mobile_Good_Signal_Night
2026-09-06 22:38:59,Cloudflare_VN,1.1.1.1,34.54,0,Mobile_Good_Signal_Night
2026-09-06 22:38:59,Google_VN,8.8.8.8,38.89,0,Mobile_Good_Signal_Night
2026-09-06 22:39:00,OpenDNS_Global,208.67.222.222,78.82,0,Mobile_Good_Signal_Night
2026-09-06 22:39:01,Cloudflare_VN,1.1.1.1,37.21,0,Mobile_Good_Signal_Night
2026-09-06 22:39:02,Google_VN,8.8.8.8,38.51,0,Mobile_Good_Signal_Night
2026-09-06 22:39:03,OpenDNS_Global,208.67.222.222,79.48,0,Mobile_Good_Signal_Night
2026-09-06 22:39:04,Cloudflare_VN,1.1.1.1,45.28,0,Mobile_Good_Signal_Night
2026-09-06 22:39:05,Google_VN,8.8.8.8,37.27,0,Mobile_Good_Signal_Night
2026-09-06 22:39:05,OpenDNS_Global,208.67.222.222,81.52,0,Mobile_Good_Signal_Night
2026-09-06 22:39:07,Cloudflare_VN,1.1.1.1,36.32,0,Mobile_Good_Signal_Night
2026-09-06 22:39:07,Google_VN,8.8.8.8,56.01,0,Mobile_Good_Signal_Night
2026-09-06 22:39:08,OpenDNS_Global,208.67.222.222,91.11,0,Mobile_Good_Signal_Night
2026-09-06 22:39:10,Cloudflare_VN,1.1.1.1,38.08,0,Mobile_Good_Signal_Night
2026-09-06 22:39:10,Google_VN,8.8.8.8,45.01,0,Mobile_Good_Signal_Night
2026-09-06 22:39:11,OpenDNS_Global,208.67.222.222,86.46,0,Mobile_Good_Signal_Night
2026-09-06 22:39:12,Cloudflare_VN,1.1.1.1,36.22,0,Mobile_Good_Signal_Night
2026-09-06 22:39:13,Google_VN,8.8.8.8,40.0,0,Mobile_Good_Signal_Night
2026-09-06 22:39:13,OpenDNS_Global,208.67.222.222,65.32,0,Mobile_Good_Signal_Night
2026-09-06 22:39:15,Cloudflare_VN,1.1.1.1,39.8,0,Mobile_Good_Signal_Night
2026-09-06 22:39:15,Google_VN,8.8.8.8,43.35,0,Mobile_Good_Signal_Night
2026-09-06 22:39:16,OpenDNS_Global,208.67.222.222,82.45,0,Mobile_Good_Signal_Night
2026-09-06 22:39:18,Cloudflare_VN,1.1.1.1,37.69,0,Mobile_Good_Signal_Night
2026-09-06 22:39:18,Google_VN,8.8.8.8,37.9,0,Mobile_Good_Signal_Night
2026-09-06 22:39:19,OpenDNS_Global,208.67.222.222,64.93,0,Mobile_Good_Signal_Night
2026-09-06 22:39:20,Cloudflare_VN,1.1.1.1,39.94,0,Mobile_Good_Signal_Night
2026-09-06 22:39:21,Google_VN,8.8.8.8,135.71,0,Mobile_Good_Signal_Night
2026-09-06 22:39:21,OpenDNS_Global,208.67.222.222,65.83,0,Mobile_Good_Signal_Night
2026-09-06 22:39:23,Cloudflare_VN,1.1.1.1,40.7,0,Mobile_Good_Signal_Night
2026-09-06 22:39:23,Google_VN,8.8.8.8,60.14,0,Mobile_Good_Signal_Night
2026-09-06 22:39:24,OpenDNS_Global,208.67.222.222,64.63,0,Mobile_Good_Signal_Night
2026-09-06 22:39:26,Cloudflare_VN,1.1.1.1,46.1,0,Mobile_Good_Signal_Night
2026-09-06 22:39:26,Google_VN,8.8.8.8,43.88,0,Mobile_Good_Signal_Night
2026-09-06 22:39:27,OpenDNS_Global,208.67.222.222,82.86,0,Mobile_Good_Signal_Night
2026-09-06 22:39:28,Cloudflare_VN,1.1.1.1,36.59,0,Mobile_Good_Signal_Night
2026-09-06 22:39:29,Google_VN,8.8.8.8,38.51,0,Mobile_Good_Signal_Night
2026-09-06 22:39:29,OpenDNS_Global,208.67.222.222,65.7,0,Mobile_Good_Signal_Night
2026-09-06 22:39:31,Cloudflare_VN,1.1.1.1,38.67,0,Mobile_Good_Signal_Night
2026-09-06 22:39:31,Google_VN,8.8.8.8,41.03,0,Mobile_Good_Signal_Night
2026-09-06 22:39:32,OpenDNS_Global,208.67.222.222,80.29,0,Mobile_Good_Signal_Night
2026-09-06 22:39:34,Cloudflare_VN,1.1.1.1,32.97,0,Mobile_Good_Signal_Night
2026-09-06 22:39:34,Google_VN,8.8.8.8,38.49,0,Mobile_Good_Signal_Night
2026-09-06 22:39:35,OpenDNS_Global,208.67.222.222,188.3,0,Mobile_Good_Signal_Night
2026-09-06 22:39:36,Cloudflare_VN,1.1.1.1,143.38,0,Mobile_Good_Signal_Night
2026-09-06 22:39:37,Google_VN,8.8.8.8,64.37,0,Mobile_Good_Signal_Night
2026-09-06 22:39:38,OpenDNS_Global,208.67.222.222,77.4,0,Mobile_Good_Signal_Night
2026-09-06 22:39:39,Cloudflare_VN,1.1.1.1,36.33,0,Mobile_Good_Signal_Night
2026-09-06 22:39:40,Google_VN,8.8.8.8,56.25,0,Mobile_Good_Signal_Night
2026-09-06 22:39:40,OpenDNS_Global,208.67.222.222,80.71,0,Mobile_Good_Signal_Night
2026-09-06 22:39:42,Cloudflare_VN,1.1.1.1,37.38,0,Mobile_Good_Signal_Night
2026-09-06 22:39:42,Google_VN,8.8.8.8,55.17,0,Mobile_Good_Signal_Night
2026-09-06 22:39:43,OpenDNS_Global,208.67.222.222,79.24,0,Mobile_Good_Signal_Night
2026-09-06 22:39:45,Cloudflare_VN,1.1.1.1,35.21,0,Mobile_Good_Signal_Night
2026-09-06 22:39:45,Google_VN,8.8.8.8,37.27,0,Mobile_Good_Signal_Night
2026-09-06 22:39:46,OpenDNS_Global,208.67.222.222,78.47,0,Mobile_Good_Signal_Night
2026-09-06 22:39:47,Cloudflare_VN,1.1.1.1,40.22,0,Mobile_Good_Signal_Night
2026-09-06 22:39:48,Google_VN,8.8.8.8,65.96,0,Mobile_Good_Signal_Night
2026-09-06 22:39:48,OpenDNS_Global,208.67.222.222,78.51,0,Mobile_Good_Signal_Night
2026-09-06 22:39:50,Cloudflare_VN,1.1.1.1,36.74,0,Mobile_Good_Signal_Night
2026-09-06 22:39:50,Google_VN,8.8.8.8,50.13,0,Mobile_Good_Signal_Night
2026-09-06 22:39:51,OpenDNS_Global,208.67.222.222,78.0,0,Mobile_Good_Signal_Night
2026-09-06 22:39:53,Cloudflare_VN,1.1.1.1,40.13,0,Mobile_Good_Signal_Night
2026-09-06 22:39:53,Google_VN,8.8.8.8,55.04,0,Mobile_Good_Signal_Night
2026-09-06 22:39:54,OpenDNS_Global,208.67.222.222,77.51,0,Mobile_Good_Signal_Night
2026-09-06 22:39:55,Cloudflare_VN,1.1.1.1,37.83,0,Mobile_Good_Signal_Night
2026-09-06 22:39:56,Google_VN,8.8.8.8,66.73,0,Mobile_Good_Signal_Night
2026-09-06 22:39:56,OpenDNS_Global,208.67.222.222,82.82,0,Mobile_Good_Signal_Night
2026-09-06 22:39:58,Cloudflare_VN,1.1.1.1,48.07,0,Mobile_Good_Signal_Night
2026-09-06 22:39:59,Google_VN,8.8.8.8,134.79,0,Mobile_Good_Signal_Night
2026-09-06 22:39:59,OpenDNS_Global,208.67.222.222,74.55,0,Mobile_Good_Signal_Night
2026-09-06 22:40:01,Cloudflare_VN,1.1.1.1,165.19,0,Mobile_Good_Signal_Night
2026-09-06 22:40:01,Google_VN,8.8.8.8,42.9,0,Mobile_Good_Signal_Night
2026-09-06 22:40:02,OpenDNS_Global,208.67.222.222,80.55,0,Mobile_Good_Signal_Night
2026-09-06 22:40:04,Cloudflare_VN,1.1.1.1,44.65,0,Mobile_Good_Signal_Night
2026-09-06 22:40:04,Google_VN,8.8.8.8,54.36,0,Mobile_Good_Signal_Night
2026-09-06 22:40:05,OpenDNS_Global,208.67.222.222,88.45,0,Mobile_Good_Signal_Night
2026-09-06 22:40:06,Cloudflare_VN,1.1.1.1,36.58,0,Mobile_Good_Signal_Night
2026-09-06 22:40:07,Google_VN,8.8.8.8,61.19,0,Mobile_Good_Signal_Night
2026-09-06 22:40:07,OpenDNS_Global,208.67.222.222,86.35,0,Mobile_Good_Signal_Night
2026-09-06 22:40:09,Cloudflare_VN,1.1.1.1,58.92,0,Mobile_Good_Signal_Night
2026-09-06 22:40:09,Google_VN,8.8.8.8,40.1,0,Mobile_Good_Signal_Night
2026-09-06 22:40:10,OpenDNS_Global,208.67.222.222,65.39,0,Mobile_Good_Signal_Night
2026-09-06 22:40:12,Cloudflare_VN,1.1.1.1,99.19,0,Mobile_Good_Signal_Night
2026-09-06 22:40:12,Google_VN,8.8.8.8,53.81,0,Mobile_Good_Signal_Night
2026-09-06 22:40:13,OpenDNS_Global,208.67.222.222,66.09,0,Mobile_Good_Signal_Night
2026-09-06 22:40:14,Cloudflare_VN,1.1.1.1,36.42,0,Mobile_Good_Signal_Night
2026-09-06 22:40:15,Google_VN,8.8.8.8,71.95,0,Mobile_Good_Signal_Night
2026-09-06 22:40:15,OpenDNS_Global,208.67.222.222,94.45,0,Mobile_Good_Signal_Night
2026-09-06 22:40:17,Cloudflare_VN,1.1.1.1,143.51,0,Mobile_Good_Signal_Night
2026-09-06 22:40:18,Google_VN,8.8.8.8,38.38,0,Mobile_Good_Signal_Night
2026-09-06 22:40:18,OpenDNS_Global,208.67.222.222,63.82,0,Mobile_Good_Signal_Night
2026-09-06 22:40:20,Cloudflare_VN,1.1.1.1,37.87,0,Mobile_Good_Signal_Night
2026-09-06 22:40:20,Google_VN,8.8.8.8,97.94,0,Mobile_Good_Signal_Night
2026-09-06 22:40:21,OpenDNS_Global,208.67.222.222,103.46,0,Mobile_Good_Signal_Night
2026-09-06 22:40:23,Cloudflare_VN,1.1.1.1,36.63,0,Mobile_Good_Signal_Night
2026-09-06 22:40:23,Google_VN,8.8.8.8,39.0,0,Mobile_Good_Signal_Night
2026-09-06 22:40:24,OpenDNS_Global,208.67.222.222,83.56,0,Mobile_Good_Signal_Night
2026-09-06 22:40:25,Cloudflare_VN,1.1.1.1,52.34,0,Mobile_Good_Signal_Night
2026-09-06 22:40:26,Google_VN,8.8.8.8,66.2,0,Mobile_Good_Signal_Night
2026-09-06 22:40:26,OpenDNS_Global,208.67.222.222,65.92,0,Mobile_Good_Signal_Night
2026-09-06 22:40:28,Cloudflare_VN,1.1.1.1,34.95,0,Mobile_Good_Signal_Night
2026-09-06 22:40:28,Google_VN,8.8.8.8,51.78,0,Mobile_Good_Signal_Night
2026-09-06 22:40:29,OpenDNS_Global,208.67.222.222,80.8,0,Mobile_Good_Signal_Night
